"PROD_EST","COBERTURA","ANIO","ID_MES","MARCA","MODELO","TIPO","SEGMENTO","UNI_VEH"
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"04","Chrysler","RAM 1500-","Camiones ligeros","Pick Ups",615
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"04","Chrysler","RAM 2500-","Camiones ligeros","Pick Ups",3413
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"04","Chrysler","RAM 3500","Camiones ligeros","Pick Ups",3160
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"04","Chrysler","RAM 4000","Camiones ligeros","Pick Ups",117
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"04","Ford Motor","F 150","Camiones ligeros","Pick Ups",524
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"04","Ford Motor","F 250","Camiones ligeros","Pick Ups",690
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"04","Ford Motor","F 350","Camiones ligeros","Pick Ups",909
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"04","Ford Motor","F 450","Camiones ligeros","Pick Ups",151
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"04","Ford Motor","F 550","Camiones ligeros","Pick Ups",110
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"04","Ford Motor","Fiesta Ikon","Automóviles","Subcompactos",440
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"04","Ford Motor","Fusion","Automóviles","Compactos",16687
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"04","Ford Motor","H - 215","Camiones ligeros","Pick Ups",1116
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"04","Ford Motor","LCF","Camiones ligeros","Pick Ups",305
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"04","Ford Motor","Milan-","Automóviles","De Lujo",3258
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"04","Ford Motor","MKZ-","Automóviles","De Lujo",3902
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"04","General Motors","Avalanche UUV","Camiones ligeros","Pick Ups",5521
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"04","General Motors","Chevy 3 Ptas","Automóviles","Subcompactos",552
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"04","General Motors","Chevy 4 PTAS","Automóviles","Subcompactos",1195
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"04","General Motors","Chevy 5 Ptas","Automóviles","Subcompactos",509
