"PROD_EST","COBERTURA","ANIO","ID_MES","MARCA","MODELO","TIPO","SEGMENTO","UNI_VEH"
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","Volkswagen","Bora TDI","Automóviles","Compactos",108
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","Volkswagen","Jetta TDI","Automóviles","Compactos",85
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","Volkswagen","Jetta 4 PTAS","Automóviles","Compactos",5353
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","Chrysler","PT Cruiser","Automóviles","Compactos",8104
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","Chrysler","RAM 1500-","Camiones ligeros","Pick Ups",991
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","Chrysler","RAM 2500-","Camiones ligeros","Pick Ups",6213
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","Chrysler","RAM 3500","Camiones ligeros","Pick Ups",8292
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","Chrysler","RAM 4000","Camiones ligeros","Pick Ups",532
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","Ford Motor","F 150","Camiones ligeros","Pick Ups",686
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","Ford Motor","F 250","Camiones ligeros","Pick Ups",1207
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","Ford Motor","F 350","Camiones ligeros","Pick Ups",1059
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","Ford Motor","F 450","Camiones ligeros","Pick Ups",305
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","Ford Motor","F 550","Camiones ligeros","Pick Ups",314
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","Ford Motor","Fiesta Ikon","Automóviles","Subcompactos",682
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","Ford Motor","Fusion","Automóviles","Compactos",11993
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","Ford Motor","H - 215","Camiones ligeros","Pick Ups",893
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","Ford Motor","LCF","Camiones ligeros","Pick Ups",206
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","Ford Motor","Milan-","Automóviles","De Lujo",2499
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","Ford Motor","MKZ-","Automóviles","De Lujo",2428
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","General Motors","Avalanche UUV","Camiones ligeros","Pick Ups",5811
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","General Motors","Chevy 3 Ptas","Automóviles","Subcompactos",2100
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","General Motors","Chevy 4 PTAS","Automóviles","Subcompactos",2213
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","General Motors","Chevy 5 Ptas","Automóviles","Subcompactos",1099
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","General Motors","Escalade EXT UUV 4X4","Camiones ligeros","Minivans",652
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","General Motors","GMC Sierra Doble Cabina","Camiones ligeros","Pick Ups",3503
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","General Motors","HHR 5 PTAS","Automóviles","Compactos",7125
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","General Motors","Kodiak Chassis Cab Class 6 PBV23,900","Camiones ligeros","Pick Ups",24
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","General Motors","Kodiak Chassis Cab Class 7 PBV33,000","Camiones ligeros","Pick Ups",175
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","General Motors","Kodiak Chassis Cab Class 8 PBV36,000","Camiones ligeros","Pick Ups",143
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","General Motors","Rendezvous","Camiones ligeros","Minivans",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","General Motors","Silverado 1500 Cabina Regular-","Camiones ligeros","Pick Ups",681
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","General Motors","Silverado 2500 Cabina Regular-","Camiones ligeros","Pick Ups",7138
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","General Motors","Silverado 2500 Doble Cabina-","Camiones ligeros","Pick Ups",936
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","General Motors","Silverado 3500 Chassis Cab","Camiones ligeros","Pick Ups",589
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","General Motors","Silverado 3500 HD Chassis Cab Heavy Duty","Camiones ligeros","Pick Ups",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","General Motors","Suburban SUV-","Camiones ligeros","SUV's",5642
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","General Motors","VUE","Camiones ligeros","SUV's",220
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","Honda","Accord 4PTS-","Automóviles","De Lujo",2150
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","Nissan","Chasis Largo","Camiones ligeros","Pick Ups",1838
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","Nissan","Estacas Largo","Camiones ligeros","Pick Ups",221
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","Nissan","Pickup Doble Cabina","Camiones ligeros","Pick Ups",1097
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","Nissan","Pickup King Cab STD","Camiones ligeros","Pick Ups",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","Nissan","Pickup Largo","Camiones ligeros","Pick Ups",549
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","Nissan","Platina 4 PTS","Automóviles","Subcompactos",493
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","Nissan","Sentra","Automóviles","Compactos",12401
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","Nissan","Sentra 4 PTS","Automóviles","Compactos",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","Nissan","Tiida Sedan","Automóviles","Compactos",5229
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","Nissan","Tiida 5 PTS","Automóviles","Compactos",13563
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","Nissan","Tsubame","Automóviles","Compactos",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","Nissan","Tsuru 4 PTS","Automóviles","Subcompactos",5685
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","Renault","Clio","Automóviles","Subcompactos",1391
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","Renault","Scenic","Automóviles","Compactos",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","Toyota","Tacoma-","Camiones ligeros","Pick Ups",5226
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","Volkswagen","Beetle","Automóviles","Compactos",3685
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","Volkswagen","Beetle Cabrio","Automóviles","Compactos",3439
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","Volkswagen","Bora","Automóviles","Compactos",20213
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","Volkswagen","Bora TDI","Automóviles","Compactos",108
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","Volkswagen","Jetta TDI","Automóviles","Compactos",145
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"03","Volkswagen","Jetta 4 PTAS","Automóviles","Compactos",6514
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"04","Chrysler","PT Cruiser","Automóviles","Compactos",10120
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"04","Chrysler","RAM 1500-","Camiones ligeros","Pick Ups",677
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"04","Chrysler","RAM 2500-","Camiones ligeros","Pick Ups",6713
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"04","Chrysler","RAM 3500","Camiones ligeros","Pick Ups",8139
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"04","Chrysler","RAM 4000","Camiones ligeros","Pick Ups",407
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"04","Ford Motor","F 150","Camiones ligeros","Pick Ups",791
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"04","Ford Motor","F 250","Camiones ligeros","Pick Ups",603
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"04","Ford Motor","F 350","Camiones ligeros","Pick Ups",1062
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"04","Ford Motor","F 450","Camiones ligeros","Pick Ups",497
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"04","Ford Motor","F 550","Camiones ligeros","Pick Ups",73
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"04","Ford Motor","Fiesta Ikon","Automóviles","Subcompactos",679
